name,url
[BD]investigation,https://stream1.freetv.fun/investigation-1.m3u8
[HD]kajou tv,https://stream1.freetv.fun/kajou-tv-1.m3u8
[HD]cbs news los angeles (720p),https://stream1.freetv.fun/cbs-news-los-angeles-1.m3u8
[HD]kids channel,https://stream1.freetv.fun/kids-channel-1.m3u8
[SD]kiro-dt1 (1080p),https://stream1.freetv.fun/kiro-dt1-2.m3u8
[SD]biznet lifestyle,https://stream1.freetv.fun/biznet-lifestyle-1.m3u8
[BD]lifetime *m[geo-blocked],https://stream1.freetv.fun/lifetime--m-1.ctv
[SD]lifetime(tw)---,https://stream1.freetv.fun/lifetime-10.ctv
[HD]love hip hop,https://stream1.freetv.fun/love-hip-hop-1.m3u8
[HD]tv max,https://stream1.freetv.fun/tv-max-3.m3u8
[BD]l1 max,https://stream1.freetv.fun/l1-max-1.m3u8
[VGA]mlb[geo-blocked],https://stream1.freetv.fun/mlb-1.m3u8
[BD]msnbc ==,https://stream1.freetv.fun/msnbc-3.ctv
[BD]us msnbc,https://stream1.freetv.fun/us-msnbc-1.ctv
[SD]mtv 2=,https://stream1.freetv.fun/mtv-2-1.ctv
[BD]umtv,https://stream1.freetv.fun/umtv-1.m3u8
[VGA]rmtv,https://stream1.freetv.fun/rmtv-1.m3u8
[HD]mtv,https://stream1.freetv.fun/mtv-9.m3u8
[BD]yo! mtv,https://stream1.freetv.fun/yo--mtv-1.m3u8
[HD]mdtv[geo-blocked],https://stream1.freetv.fun/mdtv-1.m3u8
[SD]mtv live uhd *m[geo-blocked],https://stream1.freetv.fun/mtv-live-uhd--m-1.ctv
[VGA]mtv live,https://stream1.freetv.fun/mtv-live-11.ctv
[SD]mtv live *s[geo-blocked],https://stream1.freetv.fun/mtv-live--s-1.m3u8
[BD]motor trend,https://stream1.freetv.fun/motor-trend-4.m3u8
[HD]us motortrend,https://stream1.freetv.fun/us-motortrend-1.ctv
[BD]mystery science theater 3000=[geo-blocked],https://stream1.freetv.fun/mystery-science-theater-3000-5.ctv
[BD]nascar,https://stream1.freetv.fun/nascar-1.m3u8
[HD]national geographic wild *m[geo-blocked],https://stream1.freetv.fun/national-geographic-wild--m-1.ctv
[SD]nat geo wild,https://stream1.freetv.fun/nat-geo-wild-7.m3u8
